Date(UTC),Pair,Side,Price,Executed,Amount,Fee
2022-05-15 13:08:53,ETHBTC,SELL,0.0687030000,0.4024000000ETH,0.02764609BTC,0.0020854200BNB
2022-05-15 13:08:53,ETHBTC,SELL,0.0687030000,0.5701000000ETH,0.03916758BTC,0.0029542800BNB
2022-05-15 13:08:53,ETHBTC,SELL,0.0687030000,0.5092000000ETH,0.03498357BTC,0.0026382600BNB
2022-05-15 13:08:52,ETHBTC,SELL,0.0687030000,0.3577000000ETH,0.02457506BTC,0.0018538800BNB
2022-05-15 13:08:47,ETHBTC,SELL,0.0687030000,0.0963000000ETH,0.00661610BTC,0.0004992900BNB
2022-05-15 13:08:46,ETHBTC,SELL,0.0687030000,0.0082000000ETH,0.00056336BTC,0.0000422300BNB
2022-05-15 13:08:46,ETHBTC,SELL,0.0687030000,0.4061000000ETH,0.02790029BTC,0.0021042800BNB
2022-05-15 07:55:57,DOTBUSD,BUY,11.0600000000,5.0300000000DOT,55.63180000BUSD,0.0001418400BNB
2022-05-15 07:52:05,FTMBTC,SELL,0.0000122300,921.0000000000FTM,0.01126383BTC,0.0008583100BNB
2022-03-29 03:15:45,BETHETH,SELL,0.9632000000,0.1029000000BETH,0.09911328ETH,0.0005789100BNB
2022-01-13 10:44:26,USTBUSD,SELL,1.0008000000,368.0000000000UST,368.29440000BUSD,0.0005683500BNB
2022-01-13 10:43:36,USTBUSD,SELL,1.0008000000,"1,104.0000000000UST","1,104.88320000BUSD",0.0017054100BNB
2022-01-05 09:06:47,USTBUSD,BUY,1.0013000000,998.0000000000UST,999.29740000BUSD,0.0014583900BNB
2021-12-31 09:06:32,USTBUSD,BUY,1.0010000000,475.0000000000UST,475.47500000BUSD,0.0006788600BNB
2021-12-31 09:06:06,USDCBUSD,SELL,1.0000000000,379.6200000000USDC,379.62000000BUSD,0.0000000000BNB
2021-12-31 09:00:01,LUNABUSD,BUY,89.0500000000,0.3500000000LUNA,31.16750000BUSD,0.0000444300BNB
2021-12-31 08:58:45,USDCBUSD,SELL,1.0000000000,126.5300000000USDC,126.53000000BUSD,0.0000000000BNB
2021-12-20 14:41:41,BTCUSDC,BUY,"45,778.2600000000",0.0104300000BTC,477.46725180USDC,0.0007024500BNB
2021-12-20 14:41:41,BTCUSDC,BUY,"45,778.2600000000",0.0114100000BTC,522.32994660USDC,0.0007684500BNB
2021-12-14 03:37:58,SOLUSDC,SELL,153.4200000000,1.8000000000SOL,276.15600000USDC,0.0003928500BNB
2021-12-01 08:50:58,ETHBUSD,BUY,"4,709.1700000000",0.0625000000ETH,294.32312500BUSD,0.0003472200BNB
2021-11-30 15:04:37,ETHBUSD,BUY,"4,698.6400000000",0.0897000000ETH,421.46800800BUSD,0.0000000000BNB
2021-11-25 09:41:29,MANABUSD,SELL,5.8328000000,5.0000000000MANA,29.16400000BUSD,0.0000000000BNB
2021-11-25 09:41:27,MANABUSD,SELL,5.8328000000,123.0000000000MANA,717.43440000BUSD,0.0000000000BNB
2021-11-12 09:32:05,STXUSDT,BUY,2.3150000000,206.0000000000STX,476.89000000USDT,0.0005829200BNB
2021-11-12 09:32:04,STXUSDT,BUY,2.3150000000,6.7000000000STX,15.51050000USDT,0.0000189500BNB
2021-11-04 13:57:36,POLSBUSD,SELL,2.9870000000,"1,000.0000000000POLS","2,987.00000000BUSD",0.0000000000BNB
2021-11-04 03:50:43,POLSBTC,BUY,0.0000468200,220.5000000000POLS,0.01032381BTC,0.0008680500BNB
2021-11-04 03:50:43,POLSBTC,BUY,0.0000468200,714.8000000000POLS,0.03346694BTC,0.0028139800BNB
2021-11-04 03:49:09,POLSBTC,BUY,0.0000468200,20.0000000000POLS,0.00093640BTC,0.0000787300BNB
2021-11-04 03:48:57,POLSBTC,BUY,0.0000468200,13.6000000000POLS,0.00063675BTC,0.0000535300BNB
2021-11-04 03:40:29,POLSBTC,BUY,0.0000468200,31.1000000000POLS,0.00145610BTC,0.0001224300BNB
2021-10-31 02:36:20,MANABUSD,SELL,3.4518000000,217.0000000000MANA,749.04060000BUSD,0.0000000000BNB
2021-10-21 14:39:27,BTCBUSD,SELL,"63,789.8000000000",0.0165300000BTC,"1,054.44539400BUSD",0.0000000000BNB
2021-10-21 14:26:32,ETHBUSD,SELL,"4,131.0500000000",0.2659000000ETH,"1,098.44619500BUSD",0.0017220600BNB
2021-10-21 14:26:32,ETHBUSD,SELL,"4,130.9800000000",0.0441000000ETH,182.17621800BUSD,0.0002856000BNB
2021-10-19 05:39:44,MANABUSD,SELL,0.7576000000,114.0000000000MANA,86.36640000BUSD,0.0000000000BNB
2021-07-27 14:25:06,MANABUSD,BUY,0.6928000000,42.3200000000MANA,29.31929600BUSD,0.0000702100BNB
2021-07-27 14:25:06,MANABUSD,BUY,0.6918000000,72.0000000000MANA,49.80960000BUSD,0.0001194600BNB
